Comment,Type of Comment
"موظفي الاستقبال 
في شهر اكتوبر 2013 دخلت الفندق لتناول الغداء و للاستفسارعن سعر الغرف والخدمات
كان موظفي الاستقبال متكبر يتكلم بصعوبه لايعطي اجوبه كافية ولا يرغب يتكلم مع السياح العرب باللغة العربية
- اعطانا اسعار غالية مبالغ فيها - فقط الخدمة ممتازة في البوفية المقهى قرب المدخل كانت ممتازة - على الفندق توفير موظف في الاستقبال يتكلم اللغة العربية
",-1
"الفندق الأفضل في أديس أبابا 
فندق مميز وغير بعيد عن فندق هيلتون حيث يفصل بينهما مبنى القصر الامبراطوري الذي يقع في قلب المدينة ، لكن سعره مرتفع جداً قياسا ببقية الفنادق في المنطقة وهو يوفر الاستقلالية التامة وبه حديقة جميلة ومسبح واسع .
",1
"هيلتون... الطراز القديم 
عدت لتوي من 3 ليال في فندق هيلتون أديس.
و هو يدعي ان لديه كل مرافق فندق من مستوى، ولكنه أصبح قديما بالتأكيد.إجراءات تسجيل الدخول طويلة (تسجيل الدخول في المطار قد يكون أسرع). الموقع جيد، وحمام سباحة جميل. لا بأس به لإقامة عمل قصيرة
",0
"ممتاز- رائع - انصح الجميع به 
في شهر اكتوبر 2013 نزلت 3 يوم في الفندق - كان اكثر من رائع - اسعار مناسبة - خدمة ممتازة - الغرف نظيفة جدا والحمامات رائعة - ادارة الفندق والموظفين اكثر من ممتازة - حراس الامن ممتازة - المطعم والبار والملهي رائعة حقا - لم ارى افضل من ذلك الفندق في اديس ابابا
",1
"فندق مريح جدا وموقع قريب للخدمات 
فعلا الخدمه جيده تشوبها الطريق السيأه الى الفندق التي تحطم السياره في اكثر الأحيان مستوي اكثر من جيد ويعتبر من افضل الفنادق في اديس ابابا بالمقارنه بالسعر
وهو في منطقه قريبه من المطار وتعتبر من ارقى المناطق في اديس ابابا بولي ميدان الم
",0
"الرياض 
انا سوداني مقيم في السعوديه زهبته في اجاز الي اديس انا وزوجتي وابني ونزلت في هذا الفندق وكان نظيف جدا والتعامل جدا رايع والتقيم ممتاز والمنشاة جديد واشجع جميع الخوان الزاهاب الي هذا الفندق الجميل , واجمل الشهور هو شهر اغسطس
",1
"فندق سئ جدا 
الصور على الانترنت غير مطابقة للواقع . الغرف ضيقة والحمام صغيرجدا . وضع التلفزيون بعيد عنك وبالقرب من الباب وشاشة صغيرة. الخدمات سيئة . البوفيه المفتوح لاشى فيه غير البيض . جميع الماكولات غير صحية. الفندق ليس فى وسط المدينة وبعيد عن المراكز التجارية والسياحية. البيئة المحيطة بالفندق غير صحية ومحيطة بالكلاب . هذا الفندق فى رايى لايسوى اكثر من 10 او 15دولار فقط.
",-1
"مكان مدهش 
انه من اروع الاماكن في غزة ويطل على البحر ويتمتتع بفندق رائع وغرف مريحة واجنحة فاخرة و ادارة اكثر من رائعة وخدمة ممتازة وانترنت سريع جدا ويتميز بجلسات هادئة و قاعات للافراح و ورشات العمل انه فندق ومطعم رائع
",1
"‪Seghen International Hotel‬ 
فندق جيد جدا سعره رخيص
داخل المدينة
مصوع مدينة سياحية، وبحرها ممتع
خاصة السباحة في منتجع قرقسم
",1
"بدل ما مندفع مصاري عشان ننبسط صرنا ندفع مصاري عشان يضربونا 
مع كل احترامي للفندق وبعض العاملين فيه وخصوصا مدير الفندق المحترم الا انه بسبب تفاهة القوانين بالفندق كي يجبروك ان تشتري من المفندق تعرضت للضرب من قبل عاملين الفندق والاهانه كل هدا بسبب منعي من ادخال علبة بلو !! فضلو ان يحصلو﻿ على ثمن علبة بلو بواسطة اجباري من شرائها من الفندق وعدم سماحي من ادخالها من الخارج ترضت للضرب !! بدل ما مندفع مصاري عشان ننبسط صرنا ندفع مصاري عشان يضربونا انا محمد اطرش من دبورية hamudiatr@gmail.com مسؤول عن كل كلمة دكرتها في تعليقي
",-1
"موقع ممتاز 
الخدمة ممتاز
الاستقبال كان جميل العاملين ودوين
الاكل ممتاز
الغرفة نظيفة و جميلة انصح بالذهاب الي الاوتيل
",1
"استمتعت جدا 
كنت في إجازة مع زوجتي و عندما وصلا الأوائل كان الاستقبال رائع الخدمة ممتازة اللوبي ر الاستقبال جميل جدا والغرف مريحة وغرفة الطعام جيدة لقد استمتعت في الإقامة جدا انصح في الذهاب الي هذا الأوتيل لانه يقطع في موقع بجانب المحطة المركزية للباصات يمكنك الذهاب الي اي مكان من الأوتيل
",1
"فندق مناسب جدًا في حي رائع  
قيمة رائعة! بغض النظر عن ""يلو كات"" الممتاز ومطاهم باباز الذي على بعد مبنى، فإن المقهى الساحر الذي يقع على بعد مبنيين أضاف إلى مزايا الفندق. شارع اللنبي، على بعد مبنى واحد، هو نفسه كئيب قليلًا لكن به مقاهي إنترنت جيدة ومريحة. أنا لا أفضل السفر بجهاز كمبيوتر. سوق الكرمل يُعد متعة. على بعد ثلاثة مبانٍ فقط من أحد طرفي هذه المجموعة الصاخبة من متاجر الفواكه والخضروات واللحوم والملابس والحلي واللعب البسيطة، والتوابل. سوق رائع! موظفو المكتب متحمسون، والطلاب ودودون. الأسرّة صلبة جدًا، وهو الشيء الذي أفضله. الغرف 103 (صغيرة) و104 (أكبر قليلًا) تكوّنان معًا وحدة سكنية رائعة. كلاهما فوق البار. النقاشات الصاخبة في الشارع قد تزعج أصحاب النوم الخفيف. مكيف الهواء يعمل جيدًا بشرط ألا يتم ضبطه على أقل من 22 درجة. نحن لا نحب بهرجة دايفد - السمات الأنيقة لفندق جاليليو في الحي النابض الذي يقع فيه تناسب نمطنا كزوج من الأحذية المريحة القديمة.",1
"ممتاز 
انا لم اسكن به فلاكن من الصور التي شاهدتها جميل جدا
",1
"المكان يحتاج إلى التجديد!  
+ الموقع ممتاز، حيث يقع على بعد مبنى واحد من برج الساعة القديم. + الغرف ساحرة ومزينة بكل حب. + شرفة الغرفة كبيرة! والإطلالة مدهشة! + كان هناك مطبخ في الزاوية على السطح مزود بأدوات الطبخ وثلاجة. كان ممتلئًا دومًا ... يبدو هذا النزل قديمًا وهو قديم بالفعل لكنه ساحر. ولكنني أحبذ وجود بعض الأقفال الجديدة على الأبواب وبعض الطلاء للجدران والنوافذ. - لا يكون أحد من فريق العمل متاحًا بعد السابعة مساءً مما يعني أن أي أحد يعرف رمز الباب يمكنه الدخول والتجوال في السطح - شيء مزعج. تسمع كل شيء ما يحدث في الممرات.",0
"أكثر مكان مريح في تل أبيب!  
نزل أولد جافا يمكن أن يكون بحق منزلك الثاني! وضع الموظفون الكثير من الطاقة لتصميم هذا المكان ليصبح مريحا ومرحّبا. لديهم سقف جميل مع إطلالة استثنائية على جافا وتل أبيب. في كل صباح يقومون بتقديم الإفطار هناك ويمكنك الاستمتاع بالقهوة التركية، بينما ينادي المؤذن. الموقع رائع، لأن الفندق يقع في وسط جافا وسوق التجزئة هناك. حول فندق جافا هناك سلام بين الأديان على الأقل لحد معين: اليهود والمسلمون يعيشون جنبا إلى جنب ويصبح صعبا أن تخمن للشخص الأجنبي مع من تتعامل. لذا فاستمتع بالجانب الشرقي لهذه العاصمة الغربية. إنه يستحق ذلك! أفضل شيء حول النزل هم الناس المقيمين هناك. فهم يقومون بجذب شخصيات مثيرة مثل المغناطيس. لذا فإذا كنت تريد معرفة أصدقاء جدد، نزل جافا هو المكان الذي يجب الذهاب إليه!",1
"لطيف... لكن يجب إبعاد موظف الاستقبال عن المكان (شعر طويل بني، طويل القامة).  
المكان مثير للاهتمام.. المبنى .. الديكور.. الأسعار كانت معقولة.. الشرفة، المطبخ، غرفة الطعام، كل ذلك كان جيدًا.... نمت في الشرفة (نعم... يمكنك القيام بذلك في إسرائيل كلها تقريبًا)، لديهم مراتب رقيقة (أكثر من 20 مرتبة بجانب بعضها البعض). لا توجد أمطار مطلقًا.. على الأقل في الصيف والربيع، والطقس حارٌ جدًا. لكن الذباب الرهيب يزعجك دائمًا. دش وحمامات نظيفة. كل شيء كان جيدًا، لكن يجب استبعاد الفتاة، لم يكن يبدو عليها أن لها مثل هذا المزاج السيئ... أعني أن واجهة أي مكان من المفترض أن تعمل على إرضاء الزبائن والترحيب بهم... شيء غير معقول!",1
"لا يوجد طعام 
حجزنا فطور وعشاء لكن وقت وجبة العشاء كان البوفيه شبه خالي ولا يوجد اي مشروبات كانت على الطاولة زجاجة ماء لا غير والبوفيه خالي من كل انواع المشروبات ليس كباقي الفنادق باقي الخدمات في الفندق جيدة والنظافة جيدة
",-1
"Nasser 
لقد كنت بالفندق وقم استقلالي بحفاوه والمشروب الطبيعي موظفي الاستقبال كانوا ممتازين وغرفة الأكل الشهي الذي قدموه والغرف نظيفه وحديثه لقد كان فندق مميز وناصر الموظف بالاستقبال كان مميز وصديق لقد ساعدني كثيرا بالتجوال بالقدس والمناطق وأسعار الرحلات الخياليه انه مميز كثيرا
",1
"Nasser 
ناصر هو الفندق انه شخص جيد في الاستقبال أني اعشقه nice nasser
",1
"متناغم ومضياف  
فعلا ً استمتعت بإقامتنا لمدة 6 ليال في هذا الفندق الدافئ والودود... موقع رائع جداً بالقرب من شارع بن يهودا كما أنه قريب من محطة شاروت. الهواء مكيف بلطف باستثناء الممرات. وجبة إفطار جميلة متضمنة. استضافة فريق العمل ممتازة ....متعاون للغاية... يقدم نصائح مفيدة للسفر. أسّرة مريحة جداً. السلبيات: لا يوجد الكثير من المساحة للتخزين ولا أدراج. أيضاً لا يوجد ساعة في الغرفة. الثلاجة في الغرفة تحافظ على الأشياء مبردَة ولكن بالتأكيد ليست باردة.",1
"زيارة ممتازة!  
سنعود مرة أخرى!
وسنوصي به: نظيف جداً، ولطيف جداً، وسعر معقول جداً ومريح!
الغرف المطلة على الشارع الرئيسي كثيرة الضوضاء ليلاً، ويدخلها الكثير من الضوء!
أوصي بالغرف المطلة على الباحة الداخلية.
",1
"لطيف و قريب من المدينة القديمة  
الغرف: مرتبة، نظيفة، و معقمة بعض الشيء. الحجم: صغيرة و لكنها ليست مزدحمة. حمام سباحة: مفتوح بالتبادل للرجال و النساء (تفقد جدول المواعيد)، لذلك فإن مواعيده محددة جداً. الإنترنت: غالي الثمن. الموقع: رائع، على بعد عشر دقائق من المدينة القديمة (بوابة داماس)، وعشرين دقيقة من ""بن يهودا"". الوجبات: مجموعة كبيرة من وجبات الشرق الاوسط الطازجة لجميع الأذواق و الرغبات (سلطة، لحم، و شوربة). بوفيه الحلويات زاخر و الإفطار هائل (مع الحلاوة!). معظم الزبائن يأتون في مجموعات.",1
"موقع رائع -7 $ بالتاكسي أو 20 دقيقة سيراً على الأقدام إلى المدينة القديمة  
السريران يتقاربان معاً/يتباعدان. لا يوجد ثلاجة. التكييف يعمل عندما ترتفع درجة الحرارة. فتحنا النافذة للحصول على هواء الليل البارد. الطعام في وجبة الإفطار والعشاء كان ممتازاً مع ترتيبات على شكل البوفيه-- كل ما يمكنك أكله بما في ذلك العصير والقهوة والشاي. الأسعار في متجر الفندق كانت جيدة لمنحوتات خشب الزيتون، قمصان، الخ. حمام السباحة والتجهيزات الرياضية غير موجودة في الموقع. لقد استمتع الأطفال بالتسوق في المدينة القديمة بالقدس في الشوارع القريبة وهي أرخص بكثير من المحلات التي أخذتنا الجولات السياحية إليها.",0
"السعوديه 
من اجمل واهدأ الفنادق التي سكنتها باليمن ومكان مريح ويمتاز بالنظافه العاليه ويمتاز ايضآ بوجود سيارات الاجره على مدار الساعه وايضآ اهم حاجه بدون مبالغه بالموضووع الامان فيه100%،،،،،وفي النهايه اتمنى لجميع سكان هذا الفندق الجميل طيب الاقامه والراحه وإنشألله رحلتي القادمه راح اسكن بهذا الفندق واتمنى من الذين يبحثون على مكان إقامه رائع ان يجربو تجربتي،،،،،،،بالتوفيق للجميع
",1
"فندق جميل 
فندق جميل و رائع و افضل شيء عجبني بالفندق النادي الرياضي و الحمام البخااري انا و كل اصحابي , تمنيت ان اطول في فتره بقائي في صنعاء لكن ان شاء الله المرة القادمة بيكون سكني لفترة طويله اكثر من المرة السابقه
شكرا لكم
حسين العروي
",1
"رائع 
بعض الغرف رائعه ووجبة الافطار كانت ايضا لابأس بها..لم ارى المنتجع ولكن حوض السباحه للأفطال فقط..الخدمه ممتازه والنظافه موجوده لكن الغرفه كانت تطل على كومة احجار و بقايا اشياء لا اعلم ماهي :) والبحر بعدها... المكان بشكل عام بالنسبه للسعر رائع
",1
"فندق....في قمة الروعه 
فندق حلو بصراحه فيه خدمات ومرافق متكاملة وخدمات أمنيه على مستوى عال وطاقم على أعلى مستوى .. أتمنى لهم مزيد من التقدم .
بس في مﻻحظه عليهم أن يعملوا على تطوير هذا الصرح العظيم بنادي رياضي وبعض الخدمات التي تنقصه والتي من خلالها يوصل إلى مصاف الفنادق العالميه ...
وشكراً
",0
"اجما وافخم مكان في صنعاء 
فندق البستان من افخم واجمل الفنادق في صنعاء قضيت فيه ليلتين كانت من العمر من كل النواحي نظافة وفخامة وهدوء وامان وتصادف إقامة حفلة لفرقة من صنعاء فكانت من اجمل الليالي التي قضيتها في صنعاء الحضارة والتاريخ الشكر لكل القائمين على هذا الصرح الجميل وأتمنى لهم المزيد من التوفيق عندي ملاحظة على طريقة الدفع انها فقط بالدولار فلو تعتمد بقية العملات الأخرى أكون شاكر وممنون
",1
"نقاش الشباب حول مؤتمر الحوار الوطني والقضية التهامية، وقضاء الأجازة مع الأسرة 
عاجز عن الوصف لهذا المكان الجميل والرائع والمتميز بالهدوء ... يمكنك الاستجمام والراحة التامة فيه وتجد فيه كافة وسائل الرفاهية والمتعة والمرح مع العلم أننا من أحد سكان مدينة صنعاء وشاركت في ندوات ومؤتمرات بهذا الفندق ومنها نقاش الشباب حول مؤتمر الحوار الوطني الشامل وحول القضية التهامية ولم أعرف قيمة هذا الفندق المريح إلا بعدما قررت قضاء أحدى الاجازات مع زوجتي وأطفالي فيه، فقد شاهدت معظم سكان المدينة يفضلون قضاء الأجازات مع أسرهم وأطفالهم فيه ليوم أو ليومين... والأهم هو توفر الهدوء والامان فيه 100%،،،،،  وفي النهايه اتمنى لجميع نزلاء هذا الفندق الجميل طيب الاقامه والراحه وإن شألله أجازاتي القادمه ستكون بهذا الفندق واتمنى من الذين يبحثون على مكان نظيف وأنيق وممتاز ومريح بمعنى الكلمة فهو فندق البستان بشارع إيران بالعاصمة صنعاء...
",1
"تجربه جميلة 
تقريبا من افضل الفنادق في صنعا خصوصا لاصحاب العمل او من ابنا البلد
اذا كنت من خارج اليمن فهناك فنادق في مدينة صنعا القديمه نفسها افضل من ناحية الموقع
الخدمه جيده في موفانبيك عامل الاستقبال كان لطيف ومتساعد جدا
",0
"احلي فندق جلسة فيه 
الفندق فخم فيه والاستقبال حلو جدا بس الاسعار غاليه شويه والله يوفقهم انشالله
",1
"حلو اذا كان غير مزحوم 
فندق رائع من حيث الموقع وخصوصا مع الوضع الامني المتردي المميز ان المسبح يكون بالظل من بعد الظهر وهذا يسمح بانك تستمتع بالسباحة خصوصا لو كان صيف الجلوس رومنسي بعد الغروب على البحر رغم ان الكراسي غير مريحة الافطار جيد جداً خيمة التخزين رائعة الموظفون ودودون ودايماً مبتسمين وامناء الفراشات الاضافية مستهلكة نزلت فيه عدة مرات والفرق انه اذا كان مزحوم فالخدمة تكون بطيئة وتضطر انك تقبل الغرفة بعيوبها اهم العيوب اللي واجهتني التلفيزيون لا يعمل والمكيف على اعلى درجة من البروده والتحكم عطلان ولكن يظل هو افضل خيار في عدن
",0
"مكان مريح ولطيف للغاية يضم أشخاصًا ودودين ولكن الغرف بحاجة إلى بعض التجديد  
سيكون من الرائع توفير خدمة إنترنت مجانية (على الأقل في الردهة) وإمكانية استخدام بطاقات المكالمات الهاتفية الدولية من الغرف (بطاقات ""كلام"" وما شابه) وفصل المطبخ الرئيسي عن قاعة الرقص (نظرًا لأن الضوضاء القادمة من المطبخ تكون مزعجة في حالة وجود مؤتمرات أو اجتماعات) واستبدال ستائر الغرف
",1
"المتعه الحقيقيه 
أن السكن في روشا أرجان له متعه خاصة من ناحية الموقع والمنظر الجميل ويكتمل بأهتمام الموظفين بخدمتك وأحترامهم وترحيبهم بك وسرعت تجاوبهم معك في خدمات الغرف وطلبات الطعام هذا ما جعلني سعيد في أقامتي وقراري بعدم التغير مستقبلا
",1
"فندق راقي وسعره مقبول 
فندق راقي من فئة الخمس نجوم من سلسلة فنادق عالمية صاحب موقع وإطلالة رائعة ومطلة على صخرة الروشة والكورنيش وذو سعر مقبول وخدمات إستقبال ترحيبية ، لكن ملاحظتي على توافر الواي فاي في الغرف
نتمنى أن يتم الالتفات اليها
",1
"الجمال والمتعة 
انصح بزيارة فندق روتانا ارجان الروشة لروعة المنظر منه والخدمة الممتازة جدا والسعر المناسب و اسلوب تعامل الموظفين مع بعض ومع النزلاء كانهم اخوان وقيمهم بجميع ما يطلبه العميل من خدماتله يكون في حاجتها وفي النهاية من لم يز فندق روتانا ارجان الروشة ببيروت فلقد فقد اشياء كثيرة من المتعة والرحة
",1
"احلى ناس 
بعد التحية اشكر فريق الاستقبال في أرجأن روتانا وعلى رأسهم وسيم مدير فريق الاستقبال كمان في شكر خاص الى اهضم صبية ملاك ومروى اما الشباب طوني وجو بنهاية كلكم بحبكم وبشعر أني في بيتي كل التحية لا خيي وسيم صالحة
",1
"فندق كتيييير مريح وخدمتو ممتازه 
فندق بجد بنصح فيه اي حدا بدور عاقامه مريحه لاجازتو غرف نضيفه وانيقه جدا مع اطلاله بتجنن عالبحر خدمة الفندق ممتازه هدا غير موقعو الي فعلا جيد جدا وبجد اداره ممتازه خاصة السيد وسيم صالحه الي بجد كان سلس جدا في تعاملو لدرجة انو مددت اجازتي قد مكنت مرتاحه انا عيلتي
",1
"فندق هادء و جميل 
قربه من المدينه - بعده عن الصخب و الضوضاء - هادء فندق نظيف - قريب من وسط البلد الغرف جميله ومطله علي البحر - واسعه المساحات جيده - قربه من المطاعم الشعبيه و الاماكن الترفيهيه لكن يؤخذ علي الفندق الصاله الرياضيه صغر حجمها وعدم وجود اجهزه كافيه تلائم حجم الفندق
",1
"الزيارة السادسة 
ان المنظر هو اهم شي في الزيارة وتشعر وكانك في منزلك في لبنان واخص بالذكر مسير وسيم الذي يقوم على العناية الفاءقة الزباين والستاف الموجود باشرافه واخص بالذكر دارين و هلا. واكر القائمين على بيلا كافيه والجو الهادئ الموجود فيها
ابي الميداني
",1
"اطلالة جميلة 
موقع الفندق متميز باطلالة جميلة على صخرة الروشة حيث انني سكنت في الدور التاسع نظام سويت رقم902يحتوي على بلكونة جميلة مطلة
على البحر والروشة ولكن العيب الوحيد بنظري انه لا يوجد لوبي ولكن بامكانك الجلوس بمطاعم ومقاهي مجاورة للاستقبال
",1
"ممتاز 
الفندق رائع ونظيف والموظفين وخاصة العاملين بالاستقبال اكثر من ممتازين وسيتكرر اختيارى الفندق المرة القادمة /وأشكر الجميع على حسن الضيافة ونظافة الفندق والأسلوب الراقى الذى يتعامل بة الجميع /كذلك المسؤولة عن خدمة الغرف اكثر من ممتازة /شكرًا
",1
"رااااائع 
من افضل الفنادق في بيروت .. يمتاز بالموقع الجيد و الخدمة الممتازة .. و طاقم العمل اكثر من رائع ... و خصوصا الانسه فرح و السيد جان .... كانت هناك مشكلة وحيدة في الفندق و هي وجود نايت كلوب .. فقد كان يسبب بعض الضجيج .. و تمت المعالجة بإغلاقه بسبب الضجيج
",1
"جيد 
جيد من ناحية مستوى اكساء الغرف و الخدمة الموقع هادئ نظافة و اهتمام بالوجبات و تنوعها و طريقة التقديم الراحة كانت مميزة و قربه من السوق و موقعه القريب من شارع الحمرا المشكلة هي الوحيدة هي غلاء الاتصالات فقط الخارجية و الداخلية حتى
",1
"واحد من أفضل فنادق بيروت 
بصراحة كل شي ممتاز .
النظافة
الاهتمام
الاستقبال وخاصة الاخ سارا
من الاخر لا تسكن غير في هذا الفندق
وكل مرة حأزور بيروت فيها ما حأسكن في غير هذا الفندق .
غضافة إلى أن الانترنت مجاني واللوبي فخم ومرتب ومريح
",1
"فندق مميز 
فندق من الفنادق الخمسة نجوم ذات السعر المميز وهو بموقع قريب من وسط بيروت وتحديدا شارع الحمرا وهو من اششهر الشوارع التجارية بلبنان والخدمة فيه ممتازة والغرف حديثة لذا فينصح به لمن يريد فندق مميز 5 نجوم ببيروت فى موقع مميز وسعر غير قابل للمنافسه
",1
"فندق جيد جدا 
الفندق جيد جدا من حيث الموقع والنظافه ويحتوي على لوبي جميل جدا ومسبح خارجي رائع تطل عليه شرف الغرف.الا انه اسعاره 150 دولار للغرفه الاعنياده عاليه جدا فلو يقللوهه لل120 دولار او 110 .الخدمه جيده لكن بطيئه والنت بعض الطوابق لايصلها الى الغرف التي في الزاويه
",1
"تقدير و احترام للانسه داليا 
عجبنى الفندق جدا"" من جميع الاوجه .... النظام ، الخدمة ، المطعم ، النظافة ، طاقم العمل و خصوصا موظفو الاستقبال و بالاخص الانسة داليا التى استقبلتنا بوافر الترحاب و الذوق الرفيع و الابتسامة اللطيفه فقد أحببتنا فى الفندق من اول وهله ,,, و لقد قررنا باذن الله العوده للفندق فى اقرب وقت ممكن للاستمتاع بالاوقات الجميله التى امضيناها به ... كما نتمنى فى تلك الزيارة القادمه ان نجد جميع موظفى الاستقبال يحملون نفس الروح المرحه و الابتسامة الجميله للانسه داليا..... مع خالص الشكر و التقدير
",1
"مها - دبي، الإمارات العربية المتحدة 
الفندق أكثر من رائع، وأنا شخصيًا كانت إقامتي فيه أكثر من رائعة وتجربة ما راح أنساها. كنت أدور على فندق أهم شيء فيه الموقع والإطلالة، بس أرجان روتانا مب بس متميز في الموقع والإطلالة، كان متميز في كل شيء. والحقيقة تقال إنه مستوى الخدمة وتعامل الموظفين معك راح تجده وايد راقي ومهذب، والكل متأهب لخدمتك وتوفير كل ما تحتاجه. كل شيء فيه ممتاز من الخدمة والاستقبال والنظافة والطعام والمظهر العام، ومناسب إذا كانت وياك عائلة وأطفال أو إذا كنت الحرمة بروحها لأنه أمان وايد
",1
"بصراحة فندق بغاية الروعة 
احب اقدم جزيل الشكر للعاملين بفندق روتانا ارجان الروشة وذلك لما يقدموه من خدمة متميزة للنزلاء سواء من الحجز او الاستقبال او الخدمات الاخري وانا من خلال تجربتي معاهم عدة مرات لا استطيع الذهاب الي لبنان دون الذهاب النزول في هذا الفندق ولا انزل في غيره ومهما تكلمت لن اوفيهم حقهم وكما انه يوجد عدد من الموظفين الذين احب ان شيد بهم وان اقول لادارة الفندق بانهم يستحقون الكثير لما يقدموه في خدمة العميل لكي يرتاح طوال فترة اقامته ومن مساعدته له وهم مالك وطوني وجوزيف وملاك دارين وهالة في الاستقبال ومحمود وريان وفريد ورامي والاستاذ وسيم صالحة وارجو من ادارة الفندق الاحتفاظ بهذا الكادر الموجود لديهم وعدم التفريط فيهم ومكفاتهم وفي الختام اتقدم بجزيل الشكر والتقدير للاشخاص الذين ذكرتهم وذلك لما قدموه ليولجميع النزلاء بالفندق مما يجعلني اعود مرة اخرة للنزول في هذا الفندق
",1
"افضل مكان للمكوث في بيروت 
لقد مكثنا في فندق روتانا الروشة خلال زيارتنا بيروت، لقد كانت اقامة ممتازة من ناحية الخدمة والخدمات المقدمة. كان فريق الإستقبال اكثر من جيد وتمّت مرافقتنا الى غرفتنا وقام الأخ طوني على الإستقبال بتأمين كافة احتياجاتنا وتلبة جميع مطالبنا ، فاحسسنا كاننا في منزلنا. طبعاً سنعود الى هذا الفندق خلال زياراتنا بيروت القادمة وننصح كل زائر لبيروت الحبيبة ان يجرّب هذا الفندق.
",1
"A very good hotel 
كدت أنسى جمال البحر ومنظر روعته ---- حتى عدت ورأيته من شرفة غرفتي في فندق أرجان بيروت- كم هو منظر ساحر وموقع مميز
",1
"خيار ممتاز  
نظيف، تكييف هواء ممتاز، خدمة رائعة.
فريق العمل محترف ومتعاون (خاصة النادلون وعمال التنظيف).
مطبخ صغير في كل غرفة - ثلاجة لطيفة الحجم.
دائمًا هناك مياه ساخنة.
ليس على القمة أو فاخر.
ردهة مريحة.
خارج الشارع الرئيسي.
هو الآن فندقي المفضل في بيروت!
",1
"تصفية فرنسية في لبنان 
4 ليالي في Sofitel Beirut مع مجموعة من انجلترا تزور لبنان لأول مرة. المبنى عصري وحديث في قلب بيروت، المنطقة جميلة ومليئة بالمطاعم والمحال، استطعنا بسهولة تغيير الغرفة (في حالة عدم امتلاء الفندق) بأخرى في الطابق العلوي فاستمتعنا بمنظر بديع لكل بيروت...شديدة الضوضاء ولكن يا لها من مدينة جذابة...الغرف بهيجة، واسعة، حديثة، فخمة وبها كل شيء تفكر به في فندق 5 نجوم...العاملون في غاية اللطف والاهتمام. بالفندق حمام سباحة داخلي وصالة رياضة صغيرة.  إقامة ممتعة بحق.
",1
"الاقامه في الريفيرا 
لقد اقمت في الريفيرا بيروتلمدة 12 يوم وكان الاقامه فيه من اكثر التجارب في حياتي روعة فكانت الغرفة جدا مريحة وhouse keeping اكثر من رائعين خاصة مونا وصفوان واما في الاستقبال كان هناك مها الرائعة ذات الاخلاق الرائعة ولكن السبب الوحيد الذي لا يليق بمثل هذا الفندق هي خدمه الانترنيت التي يجب ان تكون متوفرة في جميع مرافق الفندق وشكرا
",1
"فندق ممتاز بالنسبه للموقع وبعض الموظفين والخدمه 
فندق ماربل كثير حلو وموقعه ممتاز قريب عالمحلات والروشه بس في نقطه سلبيه انو شارع الحمراء مزدحم بالسيارات يعني دائما تزمير بس احنا من التعب والتجوال ما اثر علينا جدا .. والغرفه جيده في ثلاجه وتي في ونظيفه .. والموظفين طيبين و محترمين وما انسى ان موظف الاستقبال علي كان طيب جدا معنا والفطور جيد ارتحنا من ناحية الفندق ولانو الموظفين في الفندق كانوا ودوين اعطاني اطباع جيد عن الناس في لبنان وبصراحه فعلا هم ناس محترمين .. وبالنسبه للناس الي يرغبون بالأقامة بالفندق انا اراه جيد ,,
",1
"فندق لطيف، واي فاي متوفر، إفطار فظيع 
الإيجابيات: كان الفندق نظيف وجميل. كان العمال طيبين ومساعدين للغاية عندما كان لدينا مشاكل. للفندق موقع رائع. قيمة جيدة للسعر. السلبيات: كان اتصال واي فاي ليس مستقر ويميل إلى قطع الاتصال. يمكنك توصيل جهاز واحد فقط إلى الإنترنت، لا يمكنك الاتصال مع جهاز الكمبيوتر الخاص بك والهاتف الذكي في نفس الوقت. الإفطار كان بالكاد صالح للأكل. إنوي تناول وجبة الإفطار في مكان آخر. وكانت الحمامات قديمة.
",1
"تقيم شخص 
رائع السكن في فندق كهذا لتوفر اغلب وسائل الراحه فيه وكان نزولي في الفندق جميل جدا
",1
"فندق ممتاز 
سوف اعاود الاقامة بة حيث ان الموقع مناسب حيث يتوسط جميع اماكن التسوق خدمة الغرف ممتازه المطعم ممتاز خاصا الافطار وقاعه الدور ال14 المنظر بها خلاب وجميع الموظفين ودودين ويعملون علي راحه العميل باخلاص فشكرا لهم
",1
"فندق رائع 
فندق مميز وقريب من الداونتاون السوليدير بوقع رائع خدماته ممتازة على مدار الساعة واي فاي مجاني فطور جيد المنظر من الغرفة مطل على البحر وشكر خاص للموظف عباس حيث قام بوصف وشرح المواقع والاماكن الجميلة في لبنان
",1
"فندق محترم في موقع ممتاز 
يقع في وسط المدينة و الأماكن المشهورة. أسعار معقولة ، مرافق أساسية. حمام السباحة على السطح بمثابة علاج. سيكون من الجميل أن نرى الفندق وقد استعاد جماله السابق، ولكن لازال يوجد له سحر. الصالة الرياضية أساسية جدا. الغرف نظيفة ويمكن ذلك من التجديد. العاملين كانوا مساعدين.
",1
